1438514795814416,کد 12 رقمی نماد,IRT1YGHT0001,کد 5 رقمی نماد,YGHT1,نام لاتین شرکت,Yaghoot Agah ETF,کد 4 رقمی شرکت,YGHT,نام شرکت,صندوق س ياقوت آگاه-ثابت,نماد فارسی,ياقوت   ,نماد 30 رقمی فارسی,صندوق س ياقوت آگاه-ثابت,کد 12 رقمی شرکت,IRT1YGHT0003,بازار,-,کد تابلو,4,کد گروه صنعت,68 ,گروه صنعت,صندوق سرمايه گذاري قابل معامله,کد زیر گروه صنعت,6812,زیر گروه صنعت,صندوق سرمايه گذاري در اوراق با درآمدثابت
1625149423498289,کد 12 رقمی نماد,IRO3SMBZ0001,کد 5 رقمی نماد,SMBZ1,نام لاتین شرکت,Sina Marine srv,کد 4 رقمی شرکت,SMBZ,نام شرکت,توسعه خدمات دريايي وبندري سينا,نماد فارسی,حسينا   ,نماد 30 رقمی فارسی,توسعه خدمات دريايي وبندري سينا,کد 12 رقمی شرکت,IRO3SMBZ0000,بازار,بازار دوم فرابورس,کد تابلو,3,کد گروه صنعت,60 ,گروه صنعت,حمل ونقل، انبارداري و ارتباطات,کد زیر گروه صنعت,6003      ,زیر گروه صنعت,خدمات حمل و نقل دريايي
1723099959084685,کد 12 رقمی نماد,IRR1TKIN0101,کد 5 رقمی نماد,TKIX1,نام لاتین شرکت,Techinco-R,کد 4 رقمی شرکت,TKIN,نام شرکت,كنترل‌خوردگي‌تكين‌كو,نماد فارسی,رتكوح   ,نماد 30 رقمی فارسی,ح . كنترل‌خوردگي‌تكين‌كو,کد 12 رقمی شرکت,IRR1TKIN0102,بازار,-,کد تابلو,5,کد گروه صنعت,74 ,گروه صنعت,خدمات فني و مهندسي,کد زیر گروه صنعت,7422,زیر گروه صنعت,آزمايش و تحليل فني
1771069330721898,کد 12 رقمی نماد,IRR7PJHP0101,کد 5 رقمی نماد,PJHX1,نام لاتین شرکت,Jahrom Petro.-R,کد 4 رقمی شرکت,PJHP,نام شرکت,پتروشيمي جهرم,نماد فارسی,جهرمح  - قانون احکام دائمی برنامه های توسعه کشور ,نماد 30 رقمی فارسی,ح.پتروشيمي جهرم,کد 12 رقمی شرکت,IRR7PJHP0102,بازار,بازار پايه زرد فرابورس,کد تابلو,7,کد گروه صنعت,44 ,گروه صنعت,محصولات شيميايي,کد زیر گروه صنعت,4411      ,زیر گروه صنعت,توليد مواد شيميايي پايه به جز كود
1778142796834142,کد 12 رقمی نماد,IRO6MELZ9831,کد 5 رقمی نماد,TM171,نام لاتین شرکت,Melli Mortgage1906,کد 4 رقمی شرکت,MELZ,نام شرکت,تسهيلات مسكن بانك ملي ايران,نماد فارسی,تملي803   ,نماد 30 رقمی فارسی,تسهيلات مسكن ب. ملي-خرداد98,کد 12 رقمی شرکت,IRO6MELZ9838,بازار,بازار ابزارهاي نوين مالي فرابورس,کد تابلو,4,کد گروه صنعت,59 ,گروه صنعت,اوراق حق تقدم استفاده از تسهيلات مسكن,کد زیر گروه صنعت,5910,زیر گروه صنعت,اوراق حق تقدم استفاده از تسهيلات مسكن
1806692551822666,کد 12 رقمی نماد,IRB3AL010251,کد 5 رقمی نماد,AL1Q1,نام لاتین شرکت,AlborzNr.IJR230805,کد 4 رقمی شرکت,AL01,نام شرکت,تجهيزات ناوگان ريلي البرزنيرو,نماد فارسی,البرز02   ,نماد 30 رقمی فارسی,اجاره ريلي البرزنيرو14020514,کد 12 رقمی شرکت,IRB3AL010258,بازار,بازار ابزارهاي نوين مالي فرابورس,کد تابلو,4,کد گروه صنعت,69 ,گروه صنعت,اوراق تامين مالي,کد زیر گروه صنعت,6910,زیر گروه صنعت,صكوك اجاره
1808967844081601,کد 12 رقمی نماد,IRO3ZF460001,کد 5 رقمی نماد,ZF461,نام لاتین شرکت,Nosaz Services,کد 4 رقمی شرکت,ZF46,نام شرکت,ساختمان و خدمات نوساز,نماد فارسی,خدمات نوساز   ,نماد 30 رقمی فارسی,ساختمان و خدمات نوساز,کد 12 رقمی شرکت,IRO3ZF460000,بازار,بازار سوم فرابورس,کد تابلو,5,کد گروه صنعت,55 ,گروه صنعت,هتل و رستوران,کد زیر گروه صنعت,5510,زیر گروه صنعت,هتل ها ، اردو و ديگر تداركات اقامت كوتاه
1811292893243712,کد 12 رقمی نماد,IRB1QM040001,کد 5 رقمی نماد,QM4Q1,نام لاتین شرکت,Quotes 04,کد 4 رقمی شرکت,QM04,نام شرکت,مظنه پذيره نويسي اوراق دولتي4,نماد فارسی,مظنه4   ,نماد 30 رقمی فارسی,مظنه پذيره4- اوراق منفعت دولت,کد 12 رقمی شرکت,IRB1QM040001,بازار,-,کد تابلو,4,کد گروه صنعت,69 ,گروه صنعت,اوراق تامين مالي,کد زیر گروه صنعت,6946,زیر گروه صنعت,اوراق منفعت دولتي با ضمانت دولت
1822787329898392,کد 12 رقمی نماد,IRO3CHPZ0001,کد 5 رقمی نماد,CHPZ1,نام لاتین شرکت,Chlor Pars,کد 4 رقمی شرکت,CHPZ,نام شرکت,كلر پارس,نماد فارسی,كلر   ,نماد 30 رقمی فارسی,كلر پارس,کد 12 رقمی شرکت,IRO3CHPZ0009,بازار,-,کد تابلو,3,کد گروه صنعت,44 ,گروه صنعت,محصولات شيميايي,کد زیر گروه صنعت,4411,زیر گروه صنعت,توليد مواد شيميايي پايه به جز كود
1831214548277647,کد 12 رقمی نماد,IRO6MSKZ9831,کد 5 رقمی نماد,MZ061,نام لاتین شرکت,Mortgage Right9803,کد 4 رقمی شرکت,MSKZ,نام شرکت,بانك مسكن,نماد فارسی,تسه9803   ,نماد 30 رقمی فارسی,امتياز تسهيلات مسكن خرداد98,کد 12 رقمی شرکت,IRO6MSKZ9833,بازار,بازار ابزارهاي نوين مالي فرابورس,کد تابلو,4,کد گروه صنعت,59 ,گروه صنعت,اوراق حق تقدم استفاده از تسهيلات مسكن,کد زیر گروه صنعت,5910      ,زیر گروه صنعت,اوراق حق تقدم استفاده از تسهيلات مسكن
1852132120586484,کد 12 رقمی نماد,IRR1INDM0101,کد 5 رقمی نماد,INDX1,نام لاتین شرکت,Indamin-R,کد 4 رقمی شرکت,INDM,نام شرکت,كمك‌فنرايندامين‌,نماد فارسی,خكمكح   ,نماد 30 رقمی فارسی,ح . كمك‌فنرايندامين‌,کد 12 رقمی شرکت,IRR1INDM0108,بازار,بازار دوم بورس,کد تابلو,5,کد گروه صنعت,34 ,گروه صنعت,خودرو و ساخت قطعات,کد زیر گروه صنعت,3430,زیر گروه صنعت,قطعات يدكي و جانبي وسايل نقليه موتوري
1860384396424573,کد 12 رقمی نماد,IRR1SHSI0101,کد 5 رقمی نماد,SHSX1,نام لاتین شرکت,Sina Chem. Ind.-R,کد 4 رقمی شرکت,SHSI,نام شرکت,صنايع‌شيميايي‌سينا,نماد فارسی,شسيناح   ,نماد 30 رقمی فارسی,ح . صنايع‌شيميايي‌سينا,کد 12 رقمی شرکت,IRR1SHSI0103,بازار,بازار دوم بورس,کد تابلو,5,کد گروه صنعت,44 ,گروه صنعت,محصولات شيميايي,کد زیر گروه صنعت,4411,زیر گروه صنعت,توليد مواد شيميايي پايه به جز كود
1911343624441437,کد 12 رقمی نماد,IRR1OFOG0101,کد 5 رقمی نماد,OFOX1,نام لاتین شرکت,Ofogh Koorosh-R,کد 4 رقمی شرکت,OFOG,نام شرکت,فروشگاههاي زنجيره اي افق كوروش,نماد فارسی,افقح   ,نماد 30 رقمی فارسی,ح .فروشگاه زنجيره اي افق كوروش,کد 12 رقمی شرکت,IRR1OFOG0105,بازار,بازار دوم بورس,کد تابلو,5,کد گروه صنعت,47 ,گروه صنعت,خرده فروشي،باستثناي وسايل نقليه موتوري,کد زیر گروه صنعت,4711      ,زیر گروه صنعت,خرده فروشي انواع موادغذايي،نوشيدني وغيره
1931037287459558,کد 12 رقمی نماد,IRR1MOTJ0101,کد 5 رقمی نماد,MOTX1,نام لاتین شرکت,Motogen-R,کد 4 رقمی شرکت,MOTJ,نام شرکت,موتوژن‌,نماد فارسی,بموتوح   ,نماد 30 رقمی فارسی,ح . موتوژن‌,کد 12 رقمی شرکت,IRR1MOTJ0108,بازار,بازار اول (تابلوي اصلي) بورس,کد تابلو,1,کد گروه صنعت,31 ,گروه صنعت,ماشين آلات و دستگاه‌هاي برقي,کد زیر گروه صنعت,3110,زیر گروه صنعت,توليد موتورها، مولدها و مبدلهاي الكتريكي
2050740941534952,کد 12 رقمی نماد,IRR1ALMR0101,کد 5 رقمی نماد,ALMX1,نام لاتین شرکت,Alomrad-R,کد 4 رقمی شرکت,ALMR,نام شرکت,آلومراد,نماد فارسی,فمرادح   ,نماد 30 رقمی فارسی,ح . آلومراد,کد 12 رقمی شرکت,IRR1ALMR0102,بازار,بازار دوم بورس,کد تابلو,5,کد گروه صنعت,27 ,گروه صنعت,فلزات اساسي,کد زیر گروه صنعت,2720,زیر گروه صنعت,توليد فلزات گرانبهاي غيرآهن
2122354233695079,کد 12 رقمی نماد,IRR1SBHN0101,کد 5 رقمی نماد,SBHX1,نام لاتین شرکت,Behbahan Cement-R,کد 4 رقمی شرکت,SBHN,نام شرکت,سيمان‌ بهبهان‌,نماد فارسی,سبهانح   ,نماد 30 رقمی فارسی,ح . سيمان‌ بهبهان‌,کد 12 رقمی شرکت,IRR1SBHN0105,بازار,بازار دوم بورس,کد تابلو,5,کد گروه صنعت,53 ,گروه صنعت,سيمان، آهك و گچ,کد زیر گروه صنعت,5394      ,زیر گروه صنعت,توليد سيمان، آهك و گچ
